store_address,Positive,Negative,Neutral,rating,Positive-Negative
"1044 US-11, Champlain, NY 12919, United States",0.20883441,0.37673724,0.41442835,3.2560553633217992,-0.16790283
"10451 Santa Monica Blvd, Los Angeles, CA 90025, United States",0.49915725,0.0006323107,0.50021046,3.0,0.49852493
"10901 Riverside Dr, North Hollywood, CA 91602, United States",0.21089208,0.32093653,0.46817142,3.450892857142857,-0.11004445
"1100 N US Hwy 377, Roanoke, TX 76262, United States",0.14419857,0.29343095,0.5623705,3.5289330922242317,-0.14923239
"111 Madison St, Oak Park, IL 60302, United States",0.2001846,0.32172802,0.4780874,3.4141843971631207,-0.12154342
"1121 Garnet Ave, San Diego, CA 92109, United States",0.2914254,0.35543594,0.35313866,2.8688,-0.06401053
"11382 US-441, Orlando, FL 32837, United States",0.23892927,0.309693,0.45137772,3.2127329192546585,-0.07076374
"114 Delancey St, New York, NY 10002, United States",0.017124651,0.061273303,0.921602,3.3333333333333335,-0.044148654
"13749 US-183 Hwy, Austin, TX 78750, United States",0.2169462,0.31737587,0.4656779,3.3047619047619046,-0.10042967
"1415 E State Rd, Fern Park, FL 32730, United States",0.18103746,0.2763657,0.5425969,3.514668367346939,-0.09532824
"151 West 34th Street (Macy's 7th Floor, New York, NY 10001, United States",0.4925482,0.25225875,0.25519305,2.0869565217391304,0.24028945
"1540 2nd St, Santa Monica, CA 90405, United States",0.27231178,0.37857836,0.34910983,3.255720053835801,-0.10626659
"160 Broadway, New York, NY 10038, United States",0.33832934,0.654303,0.0073676575,2.3333333333333335,-0.31597367
"1650 Washington Ave, Miami Beach, FL 33139, United States",0.42377776,0.34564385,0.23057842,2.027542372881356,0.07813391
"1698 US-209, Brodheadsville, PA 18322, United States",0.18238424,0.2589528,0.558663,3.5122199592668024,-0.07656856
"1916 M St NW, Washington, DC 20036, United States",0.17365174,0.31881803,0.5075302,3.626153846153846,-0.1451663
"210 5th S, Salt Lake City, UT 84106, United States",0.26873085,0.39795148,0.33331767,2.5792207792207793,-0.12922063
"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",0.20418695,0.28655213,0.5092609,3.3362609786700124,-0.082365185
2476 Kalï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,0.1933616,0.39332905,0.41330937,3.4292929292929295,-0.19996746
"25200 I-10 Lot 2, San Antonio, TX 78257, United States",0.21446525,0.35994858,0.4255862,3.1971830985915495,-0.14548333
"262 Canal St, New York, NY 10013, United States",0.2615316,0.336177,0.4022914,3.1991869918699187,-0.0746454
"3501 Biscayne Blvd, Miami, FL 33137, United States",0.33238396,0.35800993,0.3096061,2.6594148537134283,-0.025625974
"429 7th Ave, New York, NY 10001, United States",0.16817465,0.29387406,0.5379513,3.7070063694267517,-0.1256994
"490 8th Ave, New York, NY 10001, United States",0.30037892,0.32249206,0.37712905,3.0127226463104324,-0.022113144
"501 W Imperial Hwy, Los Angeles, CA 90044, United States",0.29941356,0.37385866,0.3267278,2.5261958997722096,-0.0744451
"550 Lawrence Expy, Sunnyvale, CA 94086, United States",0.17906612,0.38607574,0.43485817,3.395472703062583,-0.20700961
"555 13th St NW, Washington, DC 20004, United States",0.002070824,0.91422856,0.083700635,3.5,-0.9121577
"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",0.2845661,0.36134058,0.35409334,2.8313333333333333,-0.07677448
"5920 Balboa Ave, San Diego, CA 92111, United States",0.17524835,0.2430259,0.5817258,3.652751423149905,-0.067777544
"621 Broadway, Newark, NJ 07104, United States",0.2445231,0.29377788,0.461699,3.1299826689774695,-0.04925479
"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",0.22466178,0.31724748,0.45809075,3.220440881763527,-0.0925857
"6875 Sand Lake Rd, Orlando, FL 32819, United States",0.17329858,0.29176393,0.5349375,3.7624309392265194,-0.11846535
"690 Alameda St, Los Angeles, CA 90021, United States",0.2873859,0.3106319,0.40198222,3.0916496945010183,-0.02324599
"7010 Bradlick Shopping Center, Annandale, VA 22003, United States",0.16389717,0.21675596,0.61934686,3.7530434782608695,-0.052858785
"702-2 Haddonfield-Berlin Rd, Voorhees Township, NJ 08043, United States",0.13990255,0.27152961,0.58856785,3.649944258639911,-0.13162707
"72-69 Kissena Blvd, Queens, NY 11367, United States",0.20742492,0.32979676,0.46277833,3.3546845124282982,-0.12237184
"724 Broadway, New York, NY 10003, United States",0.2254759,0.3331742,0.4413499,3.3643122676579926,-0.10769829
"8500 US-290, Austin, TX 78724, United States",0.28723866,0.321944,0.3908174,2.7370283018867925,-0.03470534
"9814 International Dr, Orlando, FL 32819, United States",0.3004762,0.36030376,0.33922002,2.625537139349294,-0.059827566
"By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States",0.24567725,0.37720716,0.37711564,3.073248407643312,-0.13152991
